user_id,client_event_time,start_free_trial_time,complete_sub_time,start_free_trial_type
50d0dd8cc013bda776654d037afde6c2,2022-01-01 19:15:16.345,2022-01-01 19:15:55.519,2022-02-24 18:18:54.709,A
710f80793fdab120ffc73be9a0e121e8,2022-01-04 11:29:17.108,2022-01-04 11:34:35.884,2022-03-01 21:12:07.410,A
c2dc785a8aaf56432c00af901b800b93,2022-01-05 15:30:30.250,2022-01-06 14:57:06.183,2022-02-17 12:00:36.473,A
4277fcc7c41b0a6061c0b941c42c1386,2022-01-07 17:05:41.126,2022-01-07 17:07:04.632,2022-02-01 13:04:44.262,A
98589c99426763c2801e9acb278cb5da,2022-01-07 17:27:01.675,2022-01-07 17:49:52.381,2022-02-17 06:57:45.577,A
fed21f5586eedfdf65b6f48d744857ee,2022-01-08 19:22:25.364,2022-01-08 23:41:11.118,2022-03-07 22:26:18.111,A
64221fa3039208f3aa788c21c77f59d1,2022-01-10 13:07:35.480,2022-01-10 19:57:01.120,2022-02-01 12:47:43.337,A
a7ebbc683a019514a98bdf706086a29f,2022-01-11 13:21:51.900,2022-01-11 13:24:27.567,2022-01-17 12:07:35.117,A
b96e7e6f3504355f793c6cdfdd6c2efc,2022-01-12 14:34:59.668,2022-01-12 14:35:58.479,2022-02-07 13:13:00.338,A
c812aceeac1855d1c85f383ad82ba725,2022-01-12 23:28:53.515,2022-01-12 23:31:46.925,2022-01-13 12:59:07.621,A
ee1f8000e0e6abcd358fd03879f56981,2022-01-13 00:19:42.926,2022-01-13 00:20:08.546,2022-02-10 18:08:49.215,A
b3529feebae47a6690cb2059644ccb05,2022-01-13 17:29:24.632,2022-01-13 17:30:06.605,2022-02-21 07:57:55.858,A
7f598fcf490c76f7c94d9832964c29d8,2022-01-11 11:14:33.351,2022-01-14 13:33:21.477,2022-02-22 10:05:46.482,A
fb44d1f5eb5c49499bb0e7e40a0811e6,2022-01-08 15:49:13.741,2022-01-14 15:57:52.139,2022-02-23 21:40:40.106,A
